ID,best_alpha,best_l1,df_shape,feature 1,feature 2,feature names,feature nr,meodel_complexity,method,random_state,real_test_mae,real_test_mse,real_train_mae,real_train_mse,test_mae,test_mse,train_mae,train_mse
0,,,"(1652, 79)",baseline mean,baseline mean,baseline mean,79,1,baseline mean,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
1,,,"(1652, 79)",baseline median,baseline median,baseline median,79,1,baseline median,0,56925.08232445521,6542187180.244552,56328.335956416464,7073871678.671308,0.3254781452589403,0.1862045506121489,0.31057875588764994,0.1635963783031815
3,,,"(1652, 1)",MS SubClass,,MS SubClass,1,1,lr,0,56478.01210653753,6269180111.72155,56511.627118644064,6775216893.912833,0.32261050845264355,0.18413915131914302,0.3115597450882816,0.16092113885011247
4,,,"(1652, 1)",MS SubClass,,MS SubClass,1,1,huber,0,56598.59322033898,6411046033.968523,56306.54479418886,6929249287.01816,0.32340893306467694,0.1845203376709574,0.3103967376574495,0.16169315645924598
5,,,"(1652, 1)",MS SubClass,,MS SubClass,1,1,lr_sgd,0,56482.86440677966,6253235093.581114,56549.457021791764,6757888783.182203,0.32263291208509315,0.18420543866358952,0.31177689655565494,0.1609338947384202
6,143.8449888287663,,"(1652, 1)",MS SubClass,,MS SubClass,1,1,ridgeCV,0,56488.93220338983,6270321066.486683,56505.33777239709,6777515618.838983,0.3227007623026703,0.18416172069369655,0.31154131333460033,0.16092711667183002
7,10000.0,,"(1652, 1)",MS SubClass,,MS SubClass,1,1,lassoCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
8,0.1,0.01,"(1652, 1)",MS SubClass,,MS SubClass,1,1,elasticCV,0,56495.1985472155,6271022585.585957,56502.838983050846,6778788604.262712,0.32274914445668634,0.18417734873310682,0.31153463714177215,0.1609345315518372
9,,,"(1652, 7)",MS Zoning,,MS Zoning,1,1,lr,0,50682.6803874092,5411230991.014528,51544.98789346247,6089586102.503632,0.28403742039687097,0.14409230471983905,0.278493779256616,0.13370943969496288
10,,,"(1652, 7)",MS Zoning,,MS Zoning,1,1,huber,0,50843.302663438255,5593353483.467313,51322.34745762712,6273050199.07385,0.28500005917960564,0.145445836139395,0.27721923789705444,0.13487624151005473
11,,,"(1652, 7)",MS Zoning,,MS Zoning,1,1,lr_sgd,0,50825.75544794189,5451284067.164649,51567.75968523003,6100797320.344431,0.2853687929549873,0.1501482019564663,0.2787731066274971,0.13393500846956094
12,2.0691380811147893,,"(1652, 7)",MS Zoning,,MS Zoning,1,1,ridgeCV,0,50745.16707021792,5422193585.549637,51558.37953995157,6090628962.826271,0.2847004075948219,0.14668992484530233,0.27864725239658095,0.13375450726514584
13,0.1,,"(1652, 7)",MS Zoning,,MS Zoning,1,1,lassoCV,0,54588.16949152543,6031066662.779661,54642.413438256655,6571678646.06477,0.31099343061486306,0.17450504743743847,0.3000493631131952,0.15248441969346074
14,0.1,0.01,"(1652, 7)",MS Zoning,,MS Zoning,1,1,elasticCV,0,50965.14769975787,5477369429.283293,51570.24213075061,6107591591.602905,0.28641162547539745,0.15136496094595833,0.27877994829001257,0.1341318122805273
15,,,"(1652, 6)",Lot Frontage,,Lot Frontage,1,1,lr,0,52937.259079903146,5433763285.5157385,51737.94430992736,5596322246.475787,0.2975332905308601,0.16431727170015423,0.2821538316193857,0.1321336133133408
16,,,"(1652, 6)",Lot Frontage,,Lot Frontage,1,1,huber,0,54754.179176755446,5845758244.566586,52783.416464891045,5889254384.467313,0.3067901055594679,0.17078747059988209,0.28780429298371674,0.13776916374970982
17,,,"(1652, 6)",Lot Frontage,,Lot Frontage,1,1,lr_sgd,0,54464.825665859564,5684474219.043584,54099.60411622276,6203479224.1549635,0.3091516308465613,0.1704155899342046,0.29521562039018057,0.14259501816244358
18,0.1,,"(1652, 6)",Lot Frontage,,Lot Frontage,1,1,ridgeCV,0,54465.00726392252,5672754821.893462,53299.14709443099,5849345072.568402,0.31024493781398305,0.17199722468332512,0.2932124759585879,0.1398675255310355
19,0.1,,"(1652, 6)",Lot Frontage,,Lot Frontage,1,1,lassoCV,0,55211.64406779661,6022520964.317191,55178.86561743342,6488550962.581114,0.31513152446247106,0.1769553630925558,0.3037114556492716,0.1522759937266814
20,0.1,0.01,"(1652, 6)",Lot Frontage,,Lot Frontage,1,1,elasticCV,0,54149.70460048426,5678812036.489104,53925.23668280872,6065823395.71247,0.30792432144240306,0.1694924971566964,0.29549613401538805,0.14239606555019588
21,,,"(1652, 6)",Lot Area,,Lot Area,1,1,lr,0,52020.094430992736,5292560077.857142,50742.54358353511,5493667553.50121,0.29382478320899724,0.16019945340259267,0.27639577221547795,0.1292968251108075
22,,,"(1652, 6)",Lot Area,,Lot Area,1,1,huber,0,53275.75544794189,5667332746.336562,52266.15012106537,5904208831.7941885,0.3022624565740283,0.16663584531331657,0.2859464725638669,0.1370431402397141
23,,,"(1652, 6)",Lot Area,,Lot Area,1,1,lr_sgd,0,53034.40193704601,5607776817.443099,52937.78571428572,5949662811.952785,0.3012666147918596,0.16594356114349693,0.2896597325988141,0.13918425757249178
24,0.1,,"(1652, 6)",Lot Area,,Lot Area,1,1,ridgeCV,0,53381.89588377724,5570332847.392252,52392.6882566586,5796342133.408596,0.302710597712145,0.16640705814627638,0.28680125258080735,0.13665497798102064
25,0.1,,"(1652, 6)",Lot Area,,Lot Area,1,1,lassoCV,0,54494.22760290557,5945455196.31477,54397.25544794189,6377337208.801453,0.31082284225472784,0.17413037521800506,0.2990640866747272,0.14898137614747095
26,0.1,0.01,"(1652, 6)",Lot Area,,Lot Area,1,1,elasticCV,0,53077.77239709443,5606047278.852301,52976.797215496365,5954896070.480024,0.30128858126963487,0.16583857813726785,0.2896626970302214,0.1390848872381605
27,,,"(1652, 2)",Street,,Street,1,1,lr,0,56299.014527845036,6246048137.755448,56544.7705811138,6818081113.895278,0.32119993239937905,0.18155825631828967,0.31188548390326787,0.16142857949968742
28,,,"(1652, 2)",Street,,Street,1,1,huber,0,56492.20338983051,6408914243.283293,56339.130145278454,6973211104.590194,0.32258999243717573,0.18289015917587684,0.3106438575434113,0.1622424971575199
29,,,"(1652, 2)",Street,,Street,1,1,lr_sgd,0,56246.26392251816,6218946294.665859,56599.51755447942,6799524646.395278,0.32070749784843855,0.18089857956984504,0.3122244724860655,0.16148986642673166
30,2976.351441631319,,"(1652, 2)",Street,,Street,1,1,ridgeCV,0,56580.47215496368,6278068181.096852,56535.88438256658,6821755471.97155,0.32331752717545104,0.18368756147694265,0.3118324502647443,0.16160404038265527
31,10000.0,,"(1652, 2)",Street,,Street,1,1,lassoCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
32,10000.0,0.01,"(1652, 2)",Street,,Street,1,1,elasticCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
33,,,"(1652, 2)",Alley,,Alley,1,1,lr,0,56626.81598062954,6217290014.046005,56234.66767554479,6705229617.443705,0.3237372085702984,0.18443129111870177,0.30989422409447304,0.1582506864286711
34,,,"(1652, 2)",Alley,,Alley,1,1,huber,0,56612.36561743342,6360647944.307506,56019.2191283293,6865218060.393462,0.3235718554619292,0.18412497884010728,0.30858588774887086,0.15917549373207873
35,,,"(1652, 2)",Alley,,Alley,1,1,lr_sgd,0,56590.03147699758,6206431665.469733,56241.99273607748,6693209927.26029,0.32345692681686294,0.18441680775790634,0.3099135410318676,0.15828986085717653
36,78.47599703514607,,"(1652, 2)",Alley,,Alley,1,1,ridgeCV,0,56604.76997578693,6219025752.595642,56215.8607748184,6707332540.676756,0.3235787601914817,0.18436062542534593,0.3097688959792064,0.15825809455725545
37,10000.0,,"(1652, 2)",Alley,,Alley,1,1,lassoCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
38,0.1,0.01,"(1652, 2)",Alley,,Alley,1,1,elasticCV,0,56577.418886198546,6221601170.576271,56199.44007263923,6710518582.335957,0.323381602455263,0.18428313874829105,0.3096631865563366,0.15829058424079584
39,,,"(1652, 4)",Lot Shape,,Lot Shape,1,1,lr,0,52286.578692493946,5456401212.767554,52290.230629539954,6121795363.085351,0.2977055735928166,0.1599623808584719,0.2864682772070996,0.14270636798212666
40,,,"(1652, 4)",Lot Shape,,Lot Shape,1,1,huber,0,51923.537530266345,5548229087.779661,52039.99031476997,6249495403.725182,0.29562419402870266,0.15911483434151832,0.28489379501925083,0.143387295937803
41,,,"(1652, 4)",Lot Shape,,Lot Shape,1,1,lr_sgd,0,52199.893462469736,5431668859.283293,52334.233656174336,6105246128.328087,0.29730910391853116,0.15979930088002264,0.2867043498107471,0.14276750983587114
