feature 1
Overall Qual
Neighborhood
Gr Liv Area
Bsmt Qual
Garage Cars
Exter Qual
Garage Area
Kitchen Qual
Total Bsmt SF
Year Built
1st Flr SF
Full Bath
Fireplace Qu
Garage Finish
Foundation
Garage Yr Blt
Year Remod/Add
BsmtFin Type 1
Fireplaces
2nd Flr SF
BsmtFin SF 1
TotRms AbvGrd
Heating QC
Garage Type
Open Porch SF
Exterior 2nd
Exterior 1st
Mas Vnr Area
MS Zoning
Mas Vnr Type
Lot Shape
Lot Area
Bsmt Exposure
Half Bath
Wood Deck SF
House Style
Paved Drive
Lot Frontage
Sale Type
Electrical
Fence
Sale Condition
Central Air
Bsmt Full Bath
Bldg Type
Bsmt Unf SF
Enclosed Porch
Condition 1
Lot Config
BsmtFin Type 2
Land Contour
Exter Cond
Condition 2
Roof Style
Functional
Overall Cond
Bedroom AbvGr
Kitchen AbvGr
Garage Cond
Street
Screen Porch
Mo Sold
Heating
BsmtFin SF 2
MS SubClass
Utilities
Garage Qual
Land Slope
Low Qual Fin SF
Bsmt Cond
Misc Feature
Yr Sold
Pool QC
Bsmt Half Bath
Alley
Misc Val
Pool Area
3Ssn Porch
Roof Matl
